,Mouse1,Mouse2,Mouse3,Mouse4,Mouse5,Mouse6,Mouse7,Mouse8,Mouse9,Mouse10,Mouse11,Mouse12,Mouse13,Mouse14,Mouse15,Mouse16,Mouse17,Mouse18,Mouse19,Mouse20,Mouse21,Mouse22,Mouse23,Mouse24
mmu-miR-145,8850,706,2171,406,4972,1494,3103,8490,1863,12310,5069,10121,8952,3389,7405,8155,15708,5765,5682,6053,2524,5232,2035,10993
mmu-miR-146a,105,18,27,12,81,53,76,92,44,214,85,209,156,56,101,216,271,212,65,101,60,151,130,323
mmu-miR-146b,12,4,4,2,8,8,37,28,35,35,21,35,39,30,44,50,43,21,31,48,39,37,27,44
mmu-miR-147,8,4,3,1,3,5,17,9,17,4,6,12,20,12,21,17,8,22,10,12,16,13,22,17
mmu-miR-148a,117,10,36,10,73,48,45,117,25,291,142,192,147,34,106,195,454,97,71,94,59,144,45,170
mmu-miR-148b,15,1,5,1,11,14,12,16,7,31,32,30,22,10,16,25,50,11,11,22,7,24,11,25
mmu-miR-149,122,20,45,9,84,45,96,120,59,150,96,144,164,79,104,266,285,102,101,159,78,140,126,144
mmu-miR-150,1705,230,440,136,1045,407,789,1930,533,3534,1442,2785,1573,695,1278,1694,2294,838,890,1455,611,1010,403,1738
mmu-miR-151-3p,23,6,6,5,9,8,22,14,15,45,27,29,27,14,28,45,37,26,24,31,25,20,25,36
mmu-miR-151-5p,145,21,50,30,129,77,116,199,74,636,209,396,213,53,181,310,423,204,141,197,91,168,113,266
mmu-miR-152,142,11,27,8,69,74,66,116,43,271,126,252,189,51,141,160,391,109,89,121,62,137,65,220
mmu-miR-153,6,5,5,2,3,2,15,24,10,10,12,11,17,16,6,7,15,1,5,18,9,23,10,20
mmu-miR-154,32,6,11,4,19,14,30,30,22,36,31,38,55,28,44,56,66,33,27,37,30,36,28,58
mmu-miR-155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mmu-miR-15a,42,4,18,8,30,25,44,32,17,124,60,116,59,30,45,58,134,58,37,34,42,53,43,65
mmu-miR-15b,57,7,10,8,28,28,33,81,28,185,103,141,115,35,63,123,155,65,54,55,37,74,40,94
mmu-miR-16,538,48,108,56,388,236,249,488,179,1347,700,1239,640,202,563,789,1628,756,338,444,199,596,395,949
mmu-miR-181a,505,56,136,54,476,178,292,565,161,1974,847,1226,666,202,451,955,1398,586,451,569,228,532,325,840
mmu-miR-181b+mmu-miR-181d,28,5,8,3,10,14,34,39,32,52,40,50,49,26,41,39,37,31,26,55,33,33,40,65
